,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Formatted address,User Ratings Total
2149,Angry Beans Cafe,ChIJY5OoxjL11moRnQ_0h_f39Kg,-37.7591121,144.7538906,3.9,"['cafe', 'food', 'point_of_interest', 'establishment']","15/25 Westwood Dr, Burnside",,27
2150,Jock + Mack,ChIJOzccemCJ1moRHENg9-Y2JDk,-37.88244359999999,144.6998322,4.6,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","31 Old Geelong Rd, Hoppers Crossing",,182
2151,A Saints Cafe,ChIJUc36u5tf1moRBK-X244X4qQ,-37.7444914,144.7998876,4.3,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","Main Rd W, St Albans",,9
2152,Hopscotch,ChIJ__ZO716J1moRhDgKXolo9ls,-37.851474,144.7073818,4.9,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","5/1 - 3 Alexandra Ave, Hoppers Crossing",,31
2153,Etoile Cafe/Restaurant,ChIJZxjQpmqL1moREP7j2M5nB0M,-37.7836091,144.774206,4.9,"['cafe', 'food', 'point_of_interest', 'establishment']","Shop 12/1 -11 Elgar Rd, Derrimut",,34
2154,Jamaica Blue Point Cook Town Centre,ChIJO-TmovSI1moRrDJxOiYIgwc,-37.88407979999999,144.735985,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Murnong St, Point Cook",,198
2155,BRO’S Cafe & Restaurant,ChIJy3yNH_mL1moRmKiPmhnnG8c,-37.7836676,144.773823,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","5/1 Elgar Rd, Derrimut",,34
2156,Charlie's Kitchen,ChIJwzCmybeJ1moRBTr-bRNZnT8,-37.8672559,144.7619607,4.9,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Shop2/161/165 Railway Ave, Laverton",,99
2157,Balkan Grill Bar & Restaurant,ChIJD2lWK9Rh1moRoswo5PPDDAQ,-37.7522047,144.8062741,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","57 St Albans Rd, St Albans",,26
2158,Buono Italian,ChIJgTBxnXyJ1moR506IPrpInKY,-37.8830061,144.7347548,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","town centre, 129 Murnong St, Point Cook",,45
2159,Café Sunshine and SalamaTea Restaurant,ChIJP11KGsJf1moRpzejhicM1SM,-37.7866053,144.8329583,4.8,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']","21 Dickson St, Sunshine",,98
2160,Seven Star Chinese Hotpot Restaurant,ChIJCZI-CMOJ1moRl2T8JMAf-Ek,-37.8623172,144.771479,4.4,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","68 Woods St, Laverton",,106
2161,Pier 71 Bar e Cucina,ChIJU23429Jj1moRECK3Ha4ca4E,-37.868004,144.8303485,4.4,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","71 Pier St, Altona",,509
2162,New Favourite Chinese Seafood Restaurant & BYO,ChIJndrkWZlf1moRpv3N1l5yP9w,-37.744305,144.801938,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","306 Main Rd E, St Albans",,53
2163,AMAN INDIAN RESTAURANT,ChIJZ2a1wjFe1moRqJ0BrCgk6Kc,-37.7781064,144.8360825,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","463 Ballarat Rd, Sunshine",,171
2164,LORD OF THE FRIES,ChIJT8DZgXeP1moROJXaw_D-6Fc,-37.8751789,144.6814884,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shop F020 Food court, Pacific Werribee Shopping Centre, next to McDonald’s, Hoppers Crossing",,44
2165,TASTY HEAVEN,ChIJXeyTziuF1moRZSDgcE-XdV8,-37.8510389,144.6682252,4.6,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","shop 3/652 Tarneit Rd, Tarneit",,245
2166,Saigon Sun,ChIJrTTZJ9Nj1moRo8bHfSRY00U,-37.86748,144.829757,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","84 Railway St S, Altona",,65
2167,Fresh Chilli Thai restaurant (Wyndham vale),ChIJ_cR1kD2F1moRbmmRDF42DSw,-37.891873,144.630336,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","210 Ballan Rd, Wyndham Vale",,612
2168,Phong Dinh Vietnamese Restaurant,ChIJEToVDZxf1moRVYImm1yDh4k,-37.7426483,144.8003589,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","47-49 Alfrieda St, St Albans",,20
2169,Max's Diner,ChIJG3Muj3qK1moRAX5ab_4gq0s,-37.8138,144.7858909,4.4,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","13/227-231 Fitzgerald Rd, Laverton North",,205
2170,Lazat Malaysian Restaurant,ChIJE7aWeC1e1moR1buOH-8wDkU,-37.77774100000001,144.8319372,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","495 Ballarat Rd, Sunshine",,314
2171,Rendeavous Restaurant & Bar,ChIJZVGadG-I1moRGNTVv_GSm0Y,-37.8957701,144.7513506,4.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","49a/300 Point Cook Rd, Point Cook",,179
2172,JEETA CATERING & INDIAN RESTAURANT || INDIAN SWEETS || FUNCTIONS || EVENTS,ChIJAZZLAzWJ1moR1wfuAp9cbcs,-37.8626199,144.771352,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","4 Lohse St, Laverton",,36
2173,Okami (Caroline Springs) - Japanese All You Can Eat,ChIJ3ZG2FDf11moRny1DvuO3b7Y,-37.7581313,144.7476086,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","9/136 Chisholm Dr, Caroline Springs",,106
2174,Chaskah,ChIJRSUDTi-J1moRDd29O1KLots,-37.8510048,144.7075276,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","8/377 Sayers Rd, Tarneit",,475
2175,Caroline Thai Restaurant,ChIJ7UCORtX01moRqqbEkZlAfDc,-37.7325296,144.7415699,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","9/218-222 Caroline Springs Blvd, Caroline Springs",,245
2176,Kasba Indian Restaurant,ChIJcVSEX1CJ1moRuq2yGam0MVI,-37.8384475,144.7309417,4.3,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","8/451 Leakes Rd, Truganina",,537
2177,Thuan An Restaurant,ChIJeW3fVCpe1moRmA_nPAF207g,-37.78437,144.8319023,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","253 Hampshire Rd, Sunshine",,600
2178,Stella Pizza Truganina,ChIJVyX5GfiJ1moRsotPhCaQ4mw,-37.840158,144.7492561,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","5/211 Leakes Rd, Truganina",,194
2179,Mani Thai Restaurant,ChIJ_TLK3-qL1moRER5zU3BJnFg,-37.77033120000001,144.7729668,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","6/819C Ballarat Rd, Deer Park",,32
2180,Punjab Grill Indian restaurant,ChIJ-8H_sdhh1moRzh-gbM4zCmY,-37.7924394,144.7897625,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","475 Fitzgerald Rd, Sunshine West",,147
2181,Afghan Star Restaurant,ChIJ6TYS_ype1moRu1xatUM_0Uo,-37.784427,144.831834,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","251 Hampshire Rd, Sunshine",,170
2182,Schnitz,ChIJa4kj8VyP1moRf2Q1hPpM-bU,-37.8755446,144.6807505,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","RE05 Heaths Rd, Werribee",,345
2183,Spicy King Restaurant,ChIJy8pcH79h1moRSRYcU7tZOak,-37.78791,144.8306366,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","21 Sun Cres, Sunshine",,87
2184,Nando's Laverton,ChIJi-5nZath1moRmmtQXHcT4HA,-37.8232275,144.8243471,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","2 Little Boundary Rd, Laverton",,118
2185,Hot House Pizza,ChIJa8hN5ZqI1moRMYYujPOlufI,-37.8931789,144.728049,4.2,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1/48-56 Tom Roberts Parade, Point Cook",,180
2186,Nando's Caroline Springs,ChIJdbzrBB711moRtcZGEbrC8to,-37.7324251,144.741591,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shopping Centre, Shop 8/13-19 Lake St, Caroline Springs",,232
2187,Paramount Pizza,ChIJFyomMr2K1moRFgH4Y13yg6k,-37.783593,144.7740209,4.4,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","9/1 Elgar Rd, Derrimut",,97
2188,Hanuman Thai Restaurant,ChIJNdxrurSJ1moRH3bUoaYM7GI,-37.8823605,144.6999281,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","35 Old Geelong Rd, Hoppers Crossing",,127
2189,New York Minute,ChIJde0aLnX11moRioXlei5trrg,-37.7516623,144.7761437,4.4,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Shop MM4A Station Road &, Neale Rd, Deer Park",,152
2190,BELL PIZZA,ChIJe_4_EnJg1moRWBs0NK_6sPg,-37.788328,144.811518,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1A Bell St, Sunshine West",,103
2191,Thai @ Point Cook,ChIJf7kBHZuI1moRotZG5OxpVqA,-37.89349259999999,144.7278387,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Shop2/47-57 Tom Roberts Parade, Point Cook",,150
2192,Al Pesto,ChIJOTTGx7eJ1moRuZiUP2tKx7k,-37.867031,144.762045,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","161 Railway Ave, Laverton",,41
2193,St. Burgs Caroline Springs,ChIJ77OmNmaL1moRYutjnXFRI38,-37.7587497,144.7479881,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","1042 Western Hwy, Caroline Springs",,532
2194,Mum's Kitchen at St Albans,ChIJ_SMqG5tf1moRcVo4n6lrzQM,-37.744317,144.798185,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","57 Main Rd W, St Albans",,242
2195,Thuân Phát Vietnamese & Chinese Restaurant,ChIJz2RRGJxf1moRtj-jUTFVVew,-37.7423924,144.8012934,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","56 Alfrieda St, St Albans",,476
2196,Dr Delicious Pizza,ChIJH_UbdjqP1moR4ghTSzxFQoU,-37.8612398,144.6861724,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","2/266-274 Derrimut Rd, Hoppers Crossing",,233
2197,China T Asian Restaurant,ChIJqfoC2miI1moR8uIGHMUI6nE,-37.8951796,144.7540922,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Sanctuary Lakes Shopping Centre, 32/300 Point Cook Rd, Point Cook",,139
2198,Monte Villa Restaurant & Reception Centre,ChIJuazRsbCI1moRWC7-I1naaIY,-37.8798269,144.7073839,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","78 Old Geelong Rd, Hoppers Crossing",,18
2199,Straya Cafe and Pizzeria,ChIJ3zojEImK1moRm9FC-2SGg3Q,-37.7581686,144.7433449,3.9,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","4/2 Delma Rd, Caroline Springs",,94
2200,Blazed Bar & Grill,ChIJr6GU1-Bf1moRlVvNOogRzRM,-37.77310600000001,144.8044791,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","608 Ballarat Rd, Ardeer",,89
2201,Simply Indian Hoppers Crossing,ChIJ7W2r4qKP1moRw33i_ICvhQI,-37.8612859,144.6861383,4.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Unit 1/266-274 Derrimut Rd, Hoppers Crossing",,60
2202,Diamond Palace Seafood & BBQ Restaurant,ChIJp8-giCpe1moRt0D6G_CaNaU,-37.7859192,144.8316978,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","203 Hampshire Rd, Sunshine",,200
2203,Punjabi express,ChIJ9-3ak1OJ1moRMqJHgEzkVL0,-37.862301,144.771565,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","66 Woods St, Laverton",,23
2204,Sanctuary Lakes Charcoal Chicken & Salad Bar,ChIJc9LoRG-I1moRPjljMxewltk,-37.8955413,144.7532515,4.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","26/300 Point Cook Rd, Point Cook",,114
2205,Pizza Kings Altona North,ChIJH6xibBlh1moRllKAZQTWh-I,-37.8347111,144.8458251,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","26 Borrack Square, Altona North",,104
2206,Hoppers Kebab House Authentic Turkish,ChIJ1Z3sBa2I1moRdDSHH_bvoIE,-37.883049,144.699674,4.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","9 Old Geelong Rd, Hoppers Crossing",,213
2207,Eat & Love Cafe & Restaurant,ChIJw4UPType1moR19Y2ct2ObZo,-37.785125,144.832838,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","20 Devonshire Rd, Sunshine",,1
2208,Basil Leaf Thai,ChIJHdWMqPZf1moRypPBcY4J-xo,-37.758381,144.7904404,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","10/100 Furlong Rd, Cairnlea",,100
2209,Panjali Malaysian And Indian Restaurant,ChIJqZR6RoBg1moRHrvZl26xWXw,-37.7877523,144.8307959,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","10 Sun Cres, Sunshine",,138
2210,Delhi Nights - Sweets and Indian Cuisine,ChIJB1FID62I1moRmRMbdVrnNqU,-37.88295,144.699712,3.9,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","13 Old Geelong Rd, Hoppers Crossing",,1046
2211,Okami (Hoppers Crossing) - Japanese All You Can Eat,ChIJY-12kMSJ1moRdJbKMj3HaYU,-37.8701941,144.7310221,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","3/428 Old Geelong Rd, Hoppers Crossing",,277
2212,SPRINGERS,ChIJdbzrBB711moRU-6I3uI1oBs,-37.7327296,144.7424394,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","29-35 Lake St, Caroline Springs",,55
2213,Sanctuary Lakes Function Centre & Lakeview Restaurant,ChIJQYkPjGqI1moRzPuVFHnsfZw,-37.8958917,144.7625425,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","70 Greg Norman Dr, Point Cook",,78
2214,Singh Sweets & Punjabi Restaurant,ChIJ8xnWH6uG2GoR_0jYNx3Io0U,-37.8259356,144.7471295,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","5 Connect Rd, Truganina",,655
2215,Woodville Park,ChIJYcgW1FaP1moR8JcxBXZWBA8,-37.8827778,144.6891667,4.0,"['park', 'point_of_interest', 'establishment']",Hoppers Crossing,,62
2216,Allura Playground - Kiddies Park,ChIJ4XoAb3GJ1moRqbDQT-M9bmE,-37.8401667,144.7344912,3.8,"['park', 'point_of_interest', 'establishment']","Mainview Blvd, Truganina",,24
2217,Awesome Park,ChIJI_f_GNiE1moRuDmaS9nkgxs,-37.9017752,144.6209761,3.9,"['park', 'point_of_interest', 'establishment']","150 Black Forest Rd, Wyndham Vale",,11
2218,McCormack Park,ChIJqwsGZuiJ1moR0JAxBXZWBA8,-37.8572115,144.7751575,4.2,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Laverton,,92
2219,Kelly Park,ChIJX4hGxLyF1moRpy3B3v8qtvc,-37.9004798,144.6652597,3.9,"['park', 'point_of_interest', 'establishment']","Cherry St, Werribee",,100
2220,Kingsford Common Park,ChIJ6Uu5ICCG1moRX6HaqtzyKxU,-37.8986989,144.7193062,4.4,"['park', 'point_of_interest', 'establishment']",Point Cook,,75
2221,Hargrave Park,ChIJwSv_thiG1moR-NhWxf8z8q0,-37.9016667,144.7180556,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Kingsford Dr, Point Cook",,106
2222,Presidents Park,ChIJtzrY6H2P1moR1C2evbPD0ww,-37.8863206,144.63189,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Corner of Heaths and, McGrath Rd, Werribee",,325
2223,Leapfrog Park,ChIJo80YtNeH1moR_wjnVRmhhhg,-37.9093077,144.7498723,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Life, Point Cook",,176
2224,Boardwalk Park,ChIJxVG6A_SI1moRzbKF2yUpHcM,-37.8799782,144.7361703,4.1,"['park', 'point_of_interest', 'establishment']","13 The Strand, Point Cook",,69
2225,Flower Pot Park,ChIJG9NSy4GI1moRaYgkoSWH27Q,-37.9033133,144.7387413,4.1,"['park', 'point_of_interest', 'establishment']","Adriatic Way and, Sinavara Ave, Point Cook",,49
2226,Galvin Park Reserve,ChIJJSr-WHaF1moRIJgxBXZWBA8,-37.8867257,144.6512479,4.3,"['park', 'point_of_interest', 'establishment']","Shaws Rd, Werribee",,186
2227,Aeroplane Park,ChIJp55W-l2P1moR9jdVuJHjAAY,-37.85617850000001,144.6516073,4.1,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Stanhope Rd, Tarneit",,108
2228,Exercise and Adventure Park,ChIJMXEmR_SP1moRwNDvArO2qIA,-37.8403156,144.6592463,3.3,"['park', 'point_of_interest', 'establishment']","11-15 Jeremy St, Tarneit",,3
2229,Local Park,ChIJp3z0mT2J1moRkUzyJchsWrc,-37.894619,144.7219072,3.8,"['park', 'point_of_interest', 'establishment']",Point Cook,,6
2230,Presidents Park,ChIJ2zaQsm6F1moRgPwxBXZWBA8,-37.88611179999999,144.6324081,4.3,"['park', 'point_of_interest', 'establishment']",Wyndham Vale,,670
2231,Williams Landing Parkland,ChIJNQ6GsgeJ1moRWdRmqqwn1KE,-37.8590407,144.7386101,4.4,"['park', 'point_of_interest', 'establishment']","Federation Trail, Williams Landing",,89
2232,playground,ChIJ6UwpVPuO1moRwwj1bfBkcO8,-37.8362354,144.6640262,4.0,"['park', 'point_of_interest', 'establishment']","76 Hummingbird Boulevard, Tarneit",,31
2233,Off leash dog fenced area,ChIJeTrJbw6J1moRXEMXfrktuhE,-37.85058679999999,144.7319489,4.1,"['park', 'point_of_interest', 'establishment']","Perennial Dr, Truganina",,107
2234,Altona Meadows Community Park,ChIJe8etAGOJ1moRM3Y4yN-3CWU,-37.8778929,144.7825923,4.7,"['park', 'point_of_interest', 'establishment']","Unnamed Road, Altona Meadows",,12
2235,Playground,ChIJGYJyxAKJ1moRiG5NmBBMR8w,-37.8848714,144.7253187,3.8,"['park', 'point_of_interest', 'establishment']","43 Villiers Dr, Point Cook",,4
2236,Off Lead Dog Park,ChIJK5CY4HWI1moR4kYDXcCNTd8,-37.9093971,144.7579361,3.9,"['park', 'point_of_interest', 'establishment']",Point Cook,,157
2237,Werribee Park,ChIJ3d8PWUiE1moRFzr0YB1C4L4,-37.9302625,144.6716551,4.7,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Main Dr, Werribee South",,467
2238,Werribee River Park,ChIJSRdm2mCE1moRzlna6gcL3m4,-37.933648,144.6581154,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Main Dr, Cocoroc",,82
2239,Clubhouse Park,ChIJYW2fVc2P1moR2HlHJx4ZZUo,-37.8425128,144.6571873,0.0,"['park', 'point_of_interest', 'establishment']",Tarneit,,0
2240,Saltwater Coast Crocodile Park,ChIJl0XymQaI1moR6tLBtXZpRTQ,-37.913234,144.7795265,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","260 Saltwater Promenade, Point Cook",,372
2241,Point Cook Coastal Park,ChIJ19o1L_CH1moRgJ8xBXZWBA8,-37.918448,144.7552826,4.2,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Main Dr, Point Cook",,470
2242,The rocket park,ChIJeWT13oaP1moRHVVwrzAfja4,-37.8091678,144.6672079,0.0,"['park', 'point_of_interest', 'establishment']",Tarneit,,0
2243,Soldiers Reserve,ChIJ99gV9LqF1moRUJ0xBXZWBA8,-37.9052778,144.6663889,4.1,"['park', 'point_of_interest', 'establishment']",Werribee,,93
2244,Altona Green Park,ChIJL5_RnymI1moRIB0xBXZWBA8,-37.886473,144.7827942,3.7,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","252 Victoria St, Altona Meadows",,24
2245,Cherry Lake Altona,ChIJ6X18a3lh1moRgOAxBXZWBA8,-37.860428,144.8413943,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Millers Rd, Altona",,473
2246,Logan Reserve,ChIJBzgbpNJj1moRLzh_DA4tVis,-37.8699392,144.8295845,4.7,"['park', 'point_of_interest', 'establishment']",Altona,,10
2247,Heathdale Glen Orden Wetlands,ChIJuY3yBWCP1moR8PsxBXZWBA8,-37.8837124,144.6746371,4.2,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Werribee,,254
2248,Ecoville Community Park,ChIJ5WCh7MSO1moRkrEBxExT1U0,-37.8365859,144.6835876,3.1,"['park', 'point_of_interest', 'establishment']","1 Cindia Cres, Tarneit",,35
2249,Werribee Park South,ChIJy9OQ3JGF1moRITUXXyCQcH0,-37.9263678,144.6735457,5.0,"['park', 'point_of_interest', 'establishment']","Unnamed Road, Werribee South",,2
2250,Truganina Park,ChIJh8lxPWNi1moRHQfYIVgKTT4,-37.8837242,144.7974701,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Altona Meadows,,154
2251,Butterfly Parks,ChIJi3DVCIqJ1moRmzZcp9YWyoA,-37.89806799999999,144.7640943,0.0,"['park', 'point_of_interest', 'establishment']","34-24 Panorama Way, Point Cook",,0
2252,Dog park,ChIJOV181XaJ1moRKQKbXADz3yg,-37.84023550000001,144.7361746,4.4,"['park', 'point_of_interest', 'establishment']","5 Vibrandia Way, Truganina",,130
2253,Werribee South Caravan Park,ChIJH7uA_eSD1moRhYRg3NZVjjs,-37.9730732,144.690073,4.1,"['rv_park', 'lodging', 'park', 'point_of_interest', 'establishment']","39 Beach Rd, Werribee South",,187
2254,Liberator Park,ChIJ6y0ncPyF1moRCjqqsE6_bKY,-37.9138234,144.6463494,3.0,"['park', 'point_of_interest', 'establishment']","Arbuckle Rd, Werribee",,1
2255,Saltwater Reserve,ChIJS4eGKnaI1moRXPV4WZaLlGk,-37.9091993,144.7546563,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Point Cook,,157
2256,Brooklyn Dog Park,ChIJm3UkGbBh1moR-opLytvIgjY,-37.8223315,144.8469857,4.8,"['park', 'point_of_interest', 'establishment']","Cypress Ave, Brooklyn",,80
2257,Waterway Reserve,ChIJ5VLf0HiF1moRzii-l4TMjAY,-37.9201949,144.6473048,0.0,"['park', 'point_of_interest', 'establishment']",Werribee,,0
2258,Waterway Reserve,ChIJ1Vp1xF2F1moRwIjmzV1Is78,-37.9209038,144.6449321,0.0,"['park', 'point_of_interest', 'establishment']",Werribee,,0
2259,Waterway Reserve,ChIJxTl_4s-F1moRzl8t0Ct6NTM,-37.92117229999999,144.6407519,0.0,"['park', 'point_of_interest', 'establishment']",Werribee,,0
2260,Altona Memorial Park,ChIJ9w14c69h1moRAFIwBXZWBA8,-37.8292289,144.8227599,3.2,"['cemetery', 'church', 'place_of_worship', 'park', 'point_of_interest', 'establishment']","2-14 Dohertys Rd, Altona North",,31
2261,Werribee Park Walkway,ChIJx-e237KF1moR8U-GWDUBlBA,-37.90244879999999,144.6543238,0.0,"['park', 'point_of_interest', 'establishment']",Werribee,,0
2262,Point Cook Coastal Park,ChIJ8X5cOFyH1moRa8BuzaRZJmc,-37.9285498,144.7727421,4.3,"['park', 'point_of_interest', 'establishment']",Point Cook,,56
2263,Glen Devon Park,ChIJI3MGy0KF1moR61neG6Rd7m8,-37.8926115,144.6548085,0.0,"['park', 'point_of_interest', 'establishment']","Glen Devon Primary School, 2 Golden Ave, Werribee",,0
2264,Waterway Reserve,ChIJtTzFxvuF1moRArPrdsk5i7M,-37.9204852,144.6461055,0.0,"['park', 'point_of_interest', 'establishment']",Werribee,,0
2265,Laverton Creek (Greening the Pipeline),ChIJPeGRFxyK1moRTN5PqW13GSM,-37.8363071,144.7694,2.8,"['park', 'point_of_interest', 'establishment']","Federation Trail, Laverton North",,4
2266,Elpis Park,ChIJqd-EijaJ1moRPegZERq62J4,-37.8330036,144.7233728,5.0,"['park', 'point_of_interest', 'establishment']","Muse Bvd, Truganina",,1
2267,Westbrook Park,ChIJZdnPXC2J1moRX6AybqDsXUk,-37.8348677,144.706502,5.0,"['park', 'point_of_interest', 'establishment']","9 Arnott St, Truganina",,1
2268,Off Leash Dog Area (D1 Drainage Reserve - Pannam to Morris),ChIJ7cctvYuJ1moRxgQT0Y0d2Uw,-37.8694182,144.698637,0.0,"['park', 'point_of_interest', 'establishment']",Hoppers Crossing,,0
2269,Off Leash Dog Area (D1 Drainage Reserve - Mossfiel to Callander),ChIJVyOOUiiP1moRIbqDRn9G2MM,-37.865221,144.6926024,0.0,"['park', 'point_of_interest', 'establishment']",Hoppers Crossing,,0
2270,Off Leash Dog Area (D1 Drainage Reserve - Derrimut to Wilmott),ChIJ6x4Y5MGP1moRoLz59l5OYfc,-37.8846174,144.6848152,0.0,"['park', 'point_of_interest', 'establishment']",Hoppers Crossing,,0
2271,Lake Saber,ChIJ6x2_1NKJ1moRR2d3J44Tu38,-37.8357554,144.7293947,5.0,"['park', 'point_of_interest', 'establishment']","Dohertys Drain, Truganina",,4
2272,Riverwalk Village Park,ChIJa0nFBfCE1moRRpJCI07aVMw,-37.918394,144.6429706,4.4,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']","Newmarket Rd, Werribee",,465
2273,Pipeline Reserve,ChIJfwe5JE-I1moRNEZsCGvtkQg,-37.8803778,144.7567251,4.1,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']","112 Point Cook Rd, Seabrook",,21
2274,Little Green Garden,ChIJFW-X0-6O1moRPSbYUjoLhXg,-37.8298347,144.6691799,4.1,"['park', 'point_of_interest', 'establishment']","Style Way, Tarneit",,121
2275,Mezzanine Cafe and Lounge,ChIJrxYA-oSJ1moRFd_Sb4kqiUA,-37.8407692,144.7492002,4.5,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Shop 11/211 Leakes Rd, Truganina",,155
2276,Chatter Box Cafe,ChIJzYiviKSF1moRDIK9AMNzFp0,-37.901482,144.6619061,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","63 Watton St, Werribee",,579
2277,Black Seed Cafe,ChIJR7cY3KWF1moRg809Kj8uErY,-37.9029945,144.6586295,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2/133 Watton St, Werribee",,365
2278,Cafe Squared,ChIJ9w6LyD1h1moRhieRb5_JYf4,-37.8353388,144.8454001,4.8,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","9/10 Borrack Square, Altona North",,26
2279,Cafe Time Out,ChIJIwCsU36K1moRHM3U_BppWGI,-37.80869819999999,144.7825773,4.5,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","20 Fulton Dr, Derrimut",,24
