,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
1106,1806,ChIJ4d0q5shC1moRX_RSo4cs3Hs,-37.8116581,144.9700797,4.6,"['bar', 'point_of_interest', 'establishment']","169 Exhibition St, Melbourne"
1107,George Lane Bar,ChIJ6YhTVmlo1moR22o2j31o7bQ,-37.8597511,144.977932,5.0,"['bar', 'point_of_interest', 'establishment']",St Kilda
1108,R Bar,ChIJ94N-O-td1moR6GwlLTejGVw,-37.82343669999999,144.9580861,3.3,"['bar', 'point_of_interest', 'establishment']","8 Whiteman St, Southbank"
1109,"daHa Bar, Lounge & Club",ChIJnaK1AyQv1moRfJC70mDFXnY,-37.8156542,144.9608007,4.2,"['bar', 'night_club', 'point_of_interest', 'establishment']","15/123 Queen St, Melbourne"
1110,Good Heavens Rooftop Bar,ChIJ7cO7k8hC1moRgZW5lxx0mDI,-37.8120759,144.9711426,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","level 2/79 Bourke St, Melbourne"
1111,Bar Margaux,ChIJ5R8AJzZD1moRPT400FR2dJc,-37.8105145,144.9691429,4.5,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Basement/111 Lonsdale St, Melbourne"
1112,Bar135,ChIJkeXAsUJn1moRlHwYzm3BqIU,-37.81760939999999,144.8943632,0.0,"['bar', 'point_of_interest', 'establishment']","135 Stephen St, Yarraville"
1113,Waterslide Bar,ChIJkzCsY7FC1moR2HSP6EWVY8k,-37.819998,144.966873,4.5,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","MR3, Southgate Ave, Southbank"
1114,Left Bank Melbourne Restaurant & Cocktail Bar,ChIJFwC1lrJC1moRjtLuCpWlcF0,-37.8209645,144.9625172,4.1,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","1 Southbank Blvd, Southbank"
1115,The S Lounge and Bar Black Rock,ChIJaZXgeRBv1moRmN_tLBus0WY,-37.9759342,145.0163756,4.4,"['bar', 'point_of_interest', 'establishment']","1/300 - 302 Beach Rd, Black Rock"
1116,Honey Bar and Restaurant,ChIJJ8L5sgBo1moRbDQlJKMEkN8,-37.8353299,144.9619322,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","345 Clarendon St, South Melbourne"
1117,Treviso Bar & Dining,ChIJWyXRqExd1moRVlKSoQFEoFo,-37.8167,144.960526,4.5,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","4-10 Bank Pl, Melbourne"
1118,Father's Office Speakeasy Bar and Restaurant,ChIJYbzwsctC1moRJrcp68Zxcyg,-37.8105309,144.9647087,4.0,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']","249 Little Lonsdale St, Melbourne"
1119,Hawker Bar,ChIJjbPFyaNu1moRiVZEjPTUU-k,-37.9489119,145.0424709,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","288-290 Highett Rd, Highett"
1120,OnTop Bar,ChIJRRc4rXpp1moR1Hin6eo6W8M,-37.903567,145.038919,4.4,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']","483 North Rd, Ormond"
1121,Sparrows Bar,ChIJbxDf9f1u1moRR_-rI9db2jc,-37.952022,145.005383,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","44 Bay Rd, Sandringham"
1122,The Garden of Good & Evil,ChIJHcdqFS9s1moRewMG13mOtg8,-37.9669412,145.0563253,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","13 Station Rd, Cheltenham"
1123,The S Lounge and Bar Black Rock,ChIJaZXgeRBv1moRmN_tLBus0WY,-37.9759342,145.0163756,4.4,"['bar', 'point_of_interest', 'establishment']","1/300 - 302 Beach Rd, Black Rock"
1124,Urchin Bar,ChIJ7xuMLCBv1moR3-oEMxf2zoM,-37.9377386,145.0026234,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","424 Hampton St, Hampton"
1125,Bad Shepherd Brewing Co.,ChIJGXQ5bppu1moRi-1nVd61ShY,-37.9566857,145.0390473,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","386 Reserve Rd, Cheltenham"
1126,Railway Cafe & Bar,ChIJrdWb3dJo1moR1KjvqxvwTRk,-37.9148964,144.9967144,0.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",Brighton
1127,The Corner Store,ChIJcW0kecxt1moRG0lTjM90u2s,-37.981169,145.065399,4.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","1 Swanston St, Mentone"
1128,Allegro Bar & Dining Room,ChIJp6ws9vZp1moROD5Hs-T6NR0,-37.912848,144.992878,4.2,"['restaurant', 'meal_takeaway', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","22-24 Church St, Brighton"
1129,Garf’s Bar,ChIJV7xK6bNv1moRc0wnRZmH4Vs,-37.940098,145.00182,4.8,"['bar', 'point_of_interest', 'establishment']","261 Hampton St, Hampton"
1130,Wolfe & Molone,ChIJIX5ZYkZp1moRqk6ocdOnrzw,-37.917806,145.031943,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","282 Centre Rd, Bentleigh"
1131,Sonder Bar,ChIJldk2tURp1moRCiYcuf2Ko14,-37.918552,145.038282,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","438 Centre Rd, Bentleigh"
1132,Busbys Restaurant & Bar,ChIJF6lwAKFu1moRbFFP7xsiKJk,-37.9506214,145.0463923,4.7,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","1130 Nepean Hwy, Highett"
1133,Hampton Wine Co,ChIJ13KNNiBv1moRaNHifHxI3cY,-37.937133,145.002793,4.6,"['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","444 Hampton St, Hampton"
1134,Sidebar,ChIJPwuISUhv1moRI3rwoDaYFaE,-37.9503325,145.0038741,4.8,"['bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']","39 Melrose St, Sandringham"
1135,Garf's Bar,ChIJ-bTUTZBv1moRjeg8OtxGUrs,-37.9400883,145.0018164,4.5,"['bar', 'point_of_interest', 'establishment']","261 Hampton St, Hampton"
1136,Mothers Milk Brighton,ChIJh2u-Ldlo1moR6rhHkvbglz4,-37.9053305,145.0019012,4.0,"['bar', 'point_of_interest', 'establishment']","287 Bay St, Brighton"
1137,Bar7B,ChIJX0JBkARs1moRUOwME4MF7m4,-37.9450701,145.0556294,4.4,"['bar', 'point_of_interest', 'establishment']","7B Roper St, Moorabbin"
1138,TGI Fridays,ChIJZ0ZuPiFs1moRLvGJd71elGs,-37.9592797,145.0538382,3.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1239 Nepean Hwy, Cheltenham"
1139,Botticelli Ristorante & Bar,ChIJ84H1ms1o1moRxfMltLZ8Qa0,-37.9133544,144.9934277,4.3,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","40A Church St, Brighton"
1140,Brix Bar and Dining,ChIJa4kRcfpp1moR_iijoL3LN8o,-37.8976009,145.0049749,4.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","162 Martin St, Brighton"
1141,Via 9 / Cafe and Bar (Online Order),ChIJ0f_XBedr1moR6PE6UCfoBAg,-37.921098,145.057262,3.9,"['cafe', 'bakery', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","694 Centre Rd, Bentleigh East"
1142,Hunter Licenced Cafe l Restaurant l Bar,ChIJo8Mv5-Fo1moRDCah1ucmkXc,-37.8976386,145.0049473,4.5,"['meal_delivery', 'meal_takeaway', 'cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","162 Martin St, Brighton"
1143,Gin Dispensary,ChIJXQsue5Vv1moRzMpN5x4r_0Q,-37.991835,145.042,4.8,"['bar', 'point_of_interest', 'establishment']","472a Beach Rd, Beaumaris"
1144,Le Cinque Terre,ChIJpzMv095o1moRjBl5Lyz3me0,-37.9053119,145.0020004,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","289 Bay St, Brighton"
1145,"Feast Deli, Cafe & Wine Bar",ChIJ9ece1CFv1moREJlUnpzH5lQ,-37.937663,145.00225,4.0,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']","339-343 Hampton St, Hampton"
1146,Lydford & Co. Wine + Taps,ChIJV9zX8spt1moRLK8wfRoU75I,-37.9813889,145.07,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","114/116 Nepean Hwy, Mentone"
1147,Half Moon,ChIJE3qP7tJo1moRnryBFbRME_E,-37.915572,144.996015,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","120 Church St, Brighton"
1148,Pearl on Bay,ChIJ1yUWq6Bp1moRYw730N8uHlU,-37.90556610000001,145.0021033,4.8,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']","300 Bay St, Brighton"
1149,Lucky 13 Garage,ChIJ59QokAhs1moRAGU-4JFQZf4,-37.9422684,145.0613098,4.4,"['cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","8 Cochranes Rd, Moorabbin"
1150,Taco Bill - Black Rock,ChIJl8PRBkZu1moRpGGGKckudgI,-37.9756659,145.0166274,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","611 Balcombe Rd, Black Rock"
1151,The Sandy,ChIJS-rfLgJv1moRCJWWkVtCW3Q,-37.9512604,145.0032808,3.7,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","118 Beach Rd, Sandringham"
1152,Royal Oak Hotel,ChIJz9pz2DNs1moR9TBQD1MLmWU,-37.9729094,145.0640338,3.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1375 Nepean Hwy, Cheltenham"
1153,Boundary Hotel,ChIJ7XbNpedr1moRw8jKT-1L7Nk,-37.9213234,145.058702,3.6,"['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","730 Centre Rd, Bentleigh East"
1154,Mentone RSL,ChIJV80ne8Zt1moRspBoj5B9uW0,-37.990215,145.066698,4.1,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","9 Palermo St, Mentone"
1155,Grape and Grain Liquor Cellars,ChIJ7WwFDbJu1moR_3iZIqSqBjo,-37.934703,145.037214,4.9,"['liquor_store', 'bar', 'point_of_interest', 'store', 'establishment']","14/16 Station St, Moorabbin"
1156,Winelarder,ChIJq55XkuFo1moRV0YkH-Ye5Tw,-37.897103,145.00369,4.7,"['bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']","1/153 Martin St, Brighton"
1157,Liquid Infusion Mobile Bar & Beverage Catering,ChIJLcKNhYpr1moR2Aspm_MkiTM,-37.942922,145.073699,4.9,"['cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","4 Trent St, Moorabbin"
1158,Abbiocco Pasta & Wine,ChIJD9Q2fS1v1moRmVpr9F9pMrM,-37.948518,145.041704,4.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","501 Highett Rd, Highett"
1159,McKinnon Hotel,ChIJTdCO3WZp1moR2IUb2gu6j6g,-37.9114488,145.0427383,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","251 McKinnon Rd, McKinnon"
1160,True South,ChIJq9MTAkZu1moRSqrDWwhP7Gk,-37.975728,145.0163982,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","298 Beach Rd, Black Rock"
1161,Hotel Newbay,ChIJYbnCIcVo1moR1einAVWRBh8,-37.9044446,144.9930026,4.2,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","329 New St, Brighton"
1162,Black Drop Espresso & Wine,ChIJg4QfAkZu1moR67cmX5zBUkw,-37.97564500000001,145.016353,4.4,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","615 Balcombe Rd, Black Rock"
1163,The Baths Middle Brighton,ChIJx7RbFTRv1moRoJ6S2ey0-8Y,-37.91014699999999,144.985362,4.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","251 Esplanade, Brighton"
1164,Fat Bob's Bar and Grill,ChIJkR9F6Qps1moRxXxmU2gnI-c,-37.9436889,145.0695139,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","80A Cochranes Rd, Moorabbin"
1165,House Of Pan,ChIJyy5r99Jo1moRF-VHxSIaL3A,-37.915077,144.996212,4.4,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","121A Church St, Brighton"
1166,Our Casa,ChIJDdiZ9wdv1moR7T21X9H1x04,-37.9327895,145.0034811,4.8,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","8/532 Hampton St, Hampton"
1167,Alex's Pizza Bar,ChIJ74HF4fFu1moRE98XXlGIMYU,-37.9534779,145.0204161,4.4,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","263 Bluff Rd, Sandringham"
1168,Cluck Bar,ChIJfUS-oM5t1moRjrVEJSb8FM4,-37.9824633,145.0647723,3.8,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","143 Mentone Parade, Mentone"
1169,China Bar,ChIJfZiNfSFs1moRxM0v-OgCZyg,-37.9581998,145.050505,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","1002/1239 Nepean Hwy, Cheltenham"
1170,Good Times Milk Bar,ChIJCXZ3Yv1r1moRoB9yf2xhxwM,-37.9274561,145.0493485,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","83 Tucker Rd, Bentleigh"
1171,Yummy Bar,ChIJxUb4Oydv1moRCyCV2lKiKek,-37.9327998,145.0034905,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","532 Hampton St, Hampton"
1172,2 Brothers Brewery,ChIJhy0Tigps1moRkGLc7iV49Wc,-37.9427369,145.0687483,4.7,"['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","4 Joyner St, Moorabbin"
1173,Hiro Sushi Bar,ChIJqah57M1o1moRRA146PPBOm4,-37.912509,144.993211,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","9 Church St, Brighton"
1174,Gin Dispensary,ChIJXQsue5Vv1moRzMpN5x4r_0Q,-37.991835,145.042,4.8,"['bar', 'point_of_interest', 'establishment']","472a Beach Rd, Beaumaris"
1175,Beau's Bar Bistro,ChIJWZUY-Qxu1moR2bVYXgjUZN8,-37.990705,145.041505,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","31 Bodley St, Beaumaris"
1176,Mentone RSL,ChIJV80ne8Zt1moRspBoj5B9uW0,-37.990215,145.066698,4.1,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","9 Palermo St, Mentone"
1177,Beaumaris Sporting Club,ChIJvU_daHNu1moRslKmxzf1eAM,-37.9872271,145.0423021,4.4,"['bar', 'point_of_interest', 'establishment']","68 Oak St, Beaumaris"
1178,Buono Restaurant & Bar,ChIJAUBV6T1t1moR11tUO6lpOPo,-37.992523,145.075029,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","198 Como Parade W, Parkdale"
1179,Brass Razu Wine Bar,ChIJLSKyo0XZ1WoRabjkGU3JL7M,-38.2169444,145.0366667,4.4,"['bar', 'food', 'point_of_interest', 'establishment']","13 Main St, Mornington"
1180,Merchant Lane,ChIJvSoIfEXZ1WoRwZtKlVRa-sc,-38.2181516,145.0378147,4.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","58 Main St, Mornington"
1181,The Dubliner,ChIJeS4bZ0XZ1WoRm5qMaf7-DmI,-38.2190028,145.0377056,4.7,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","65 Octavia St, Mornington"
1182,Mr Paul's Beer and Wine,ChIJ_4w-TFDZ1WoRkw_lw23ZXNM,-38.2227997,145.0409269,4.7,"['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","11/234 Main St, Mornington"
1183,Swordfish Wine Bar & Tapas,ChIJSaJegLbZ1WoRDsHuXJOAwA4,-38.22133480000001,145.0401326,4.5,"['bar', 'food', 'point_of_interest', 'establishment']","174 Main St, Mornington"
1184,Counting House Bar & Grill,ChIJf799sUXZ1WoRh_ZbpwwA-WA,-38.2163217,145.0359348,4.8,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","787 Esplanade, Mornington"
1185,Assaggini Wine Bar & Restaurant,ChIJtwFvQkXZ1WoRCQ0Lq9yEHHk,-38.218723,145.0374872,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1C Albert St, Mornington"
1186,Gods Kitchen,ChIJBQQpC1DZ1WoRGFO5bZBWZcU,-38.22159,145.038646,4.2,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","53 Barkly St, Mornington"
1187,Wilsons Wine Cellar,ChIJPfocuOLb1WoREXEnNfqMm7o,-38.2303907,145.0376112,4.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","24 Pitt St, Mornington"
1188,G.O Zone - Fika Weinstuble,ChIJFWOlJVDZ1WoRRhjJ1FsXBeI,-38.2213394,145.0401264,0.0,"['bar', 'point_of_interest', 'establishment']","174 Main St, Mornington"
1189,G.O Zone - MP Brew,ChIJAzRoF6ne1WoRhVrk8I2mgiI,-38.2326304,145.0567884,0.0,"['bar', 'point_of_interest', 'establishment']","72 Watt Rd, Mornington"
1190,Beaches of Mornington,ChIJb81xc1DZ1WoR1cIle-orsoQ,-38.2213887,145.0387548,4.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","55 Barkly St, Mornington"
1191,Mpb,ChIJ37XGM6be1WoRxAOy25HR00g,-38.2349581,145.0611957,5.0,"['bar', 'point_of_interest', 'establishment']","20 Latham St, Mornington"
1192,Taco Bill - Mornington,ChIJrYpS-U_Z1WoRBerlAukj5Gs,-38.220022,145.03862,3.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","111 Main St, Mornington"
1193,Kirks on the Esplanade,ChIJl7b0t0TZ1WoRaNkgJ_20Qp8,-38.2180838,145.034026,4.1,"['meal_takeaway', 'meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","774 Esplanade, Mornington"
1194,Grand Hotel Mornington,ChIJvRzP5E_Z1WoRI_Bp2wAZ3zQ,-38.219955,145.03918,4.1,"['night_club', 'bar', 'liquor_store', 'point_of_interest', 'store', 'establishment']","124 Main St, Mornington"
1195,Casa de Playa,ChIJHdRlcEXZ1WoRc1LimQVMjDc,-38.218092,145.037517,4.1,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","39 Main St, Mornington"
1196,The Dava Hotel,ChIJwxrX1erb1WoRY2Cn6Xp3IKE,-38.2448234,145.0305678,3.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","614 Esplanade, Mount Martha"
1197,TAR BARREL Brewery & Distillery,ChIJAzRoF6ne1WoRAAlOca-hHtM,-38.232544,145.056865,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","72 Watt Rd, Mornington"
1198,Steeples,ChIJuYccAB7c1WoR6nZ6YyZCD7U,-38.2385375,145.0675572,3.9,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Cnr Racecourse and, Mornington-Tyabb Rd, Mornington"
1199,DOC Pizza & Mozzarella Bar Delicatessen,ChIJ-64am0XZ1WoRvSR6RyDilLg,-38.2172235,145.0373886,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","22 Main St, Mornington"
1200,Il Piccolo Bar.,ChIJ45MvmbTZ1WoRx_SJFhw9tCA,-38.2192788,145.0377741,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2C Empire St, Mornington"
1201,Naughty Norman,ChIJczBo6ifZ1WoRInEuqc7xOSo,-38.2174045,145.037409,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","32 Main St, Mornington"
1202,Biscottini Cafe bar restaurant,ChIJUf18PVDZ1WoRH7_mknplkx0,-38.2213889,145.0397222,3.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","157/159 Main St, Mornington"
1203,The Rocks Mornington,ChIJiRnJxkbZ1WoRby9ewT72ZPo,-38.2132031,145.0335867,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 Schnapper Point Dr, Mornington"
1204,La Sorella by Twisted Sista,ChIJ72SoGBXZ1WoRfMnFE-Yh0Vc,-38.2169685,145.0370025,3.9,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","18a Main St, Mornington"
1205,Feu Bar Mornington,ChIJaafAh4zZ1WoR1KYJuCdX4Jo,-38.2177848,145.0372924,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","31 Main St, Mornington"
1206,Lunar Dumpling Bar,ChIJc9sOHTBo1moRF5ZrAhC-kuY,-38.21914599999999,145.038551,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","1/96 Main St, Mornington"
1207,Chutney Bar Mornington,ChIJgU3VeUXZ1WoRvoM3712li6w,-38.217806,145.037627,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","44 Main St, Mornington"
1208,The Royal Hotel Mornington,ChIJvxOXrUTZ1WoRd4E2ygOv5L0,-38.2183868,145.0334296,4.0,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","770 Esplanade, Mornington"
1209,Benton Square Noodle Bar,ChIJxTO4oOvb1WoRA54Q-PJwgdo,-38.2455664,145.0476816,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Bentons Rd & Dunns Rd, Mornington"
1210,Luduco Living,ChIJYwJx_rfe1WoRsS-MzcSXkAI,-38.2200563,145.0609376,3.0,"['furniture_store', 'night_club', 'home_goods_store', 'bar', 'general_contractor', 'point_of_interest', 'store', 'establishment']","Unit B1/1128 - 1132 Nepean Hwy, Mornington"
1211,Wowee Zowee,ChIJ_3JxT67Z1WoRzSuSDSGnvQg,-38.218029,145.0372009,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","35 Main St, Mornington"
1212,Wildgrain Mornington,ChIJofwS3n_Z1WoRjPQVptiC1PY,-38.220946,145.040569,4.9,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","1 Blamey Pl, Mornington"
1213,Commonfolk Coffee Company,ChIJG0U9S6je1WoRJ98FU1986fA,-38.2347446,145.0575691,4.3,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","16 Progress St, Mornington"
1214,Mornington Golf Club,ChIJf4_Bu8ne1WoRGtvsmf_u0z8,-38.2116202,145.0587143,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Tallis Dr, Mornington"
1215,Brass Razu Wine Bar,ChIJLSKyo0XZ1WoRabjkGU3JL7M,-38.2169444,145.0366667,4.4,"['bar', 'food', 'point_of_interest', 'establishment']","13 Main St, Mornington"
1216,Merchant Lane,ChIJvSoIfEXZ1WoRwZtKlVRa-sc,-38.2181516,145.0378147,4.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","58 Main St, Mornington"
1217,Two Buoys,ChIJ6cZ2novF1WoRWP0gdOGPLJs,-38.33244699999999,144.9658508,4.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","209 Point Nepean Rd, Dromana"
1218,The Dubliner,ChIJeS4bZ0XZ1WoRm5qMaf7-DmI,-38.2190028,145.0377056,4.7,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","65 Octavia St, Mornington"
1219,Mr Paul's Beer and Wine,ChIJ_4w-TFDZ1WoRkw_lw23ZXNM,-38.2227997,145.0409269,4.7,"['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","11/234 Main St, Mornington"
1220,Counting House Bar & Grill,ChIJf799sUXZ1WoRh_ZbpwwA-WA,-38.2163217,145.0359348,4.8,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","787 Esplanade, Mornington"
1221,Swordfish Wine Bar & Tapas,ChIJSaJegLbZ1WoRDsHuXJOAwA4,-38.22133480000001,145.0401326,4.5,"['bar', 'food', 'point_of_interest', 'establishment']","174 Main St, Mornington"
1222,Assaggini Wine Bar & Restaurant,ChIJtwFvQkXZ1WoRCQ0Lq9yEHHk,-38.218723,145.0374872,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1C Albert St, Mornington"
1223,Gods Kitchen,ChIJBQQpC1DZ1WoRGFO5bZBWZcU,-38.22159,145.038646,4.2,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","53 Barkly St, Mornington"
1224,Wilsons Wine Cellar,ChIJPfocuOLb1WoREXEnNfqMm7o,-38.2303907,145.0376112,4.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","24 Pitt St, Mornington"
1225,Volpino Pizzeria and Wine Bar,ChIJJ9l_KAXb1WoRpLXWhC9DsB0,-38.2670992,145.0137259,4.2,"['meal_delivery', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","2/42 Lochiel Ave, Mount Martha"
1226,Via Battisti,ChIJa3xE1QTb1WoRabii5w7k7rg,-38.267458,145.013459,4.4,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","26 Lochiel Ave, Mount Martha"
1227,Lunar Dumpling Bar,ChIJc9sOHTBo1moRF5ZrAhC-kuY,-38.21914599999999,145.038551,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","1/96 Main St, Mornington"
1228,G.O Zone - Fika Weinstuble,ChIJFWOlJVDZ1WoRRhjJ1FsXBeI,-38.2213394,145.0401264,0.0,"['bar', 'point_of_interest', 'establishment']","174 Main St, Mornington"
1229,Dromana Bowls Club,ChIJC7G5YlrP1WoRfL49Tlh5E3Y,-38.3390853,144.9529974,4.6,"['bar', 'point_of_interest', 'establishment']","1 Stawell St, Dromana"
1230,G.O Zone - MP Brew,ChIJAzRoF6ne1WoRhVrk8I2mgiI,-38.2326304,145.0567884,0.0,"['bar', 'point_of_interest', 'establishment']","72 Watt Rd, Mornington"
1231,Beaches of Mornington,ChIJb81xc1DZ1WoR1cIle-orsoQ,-38.2213887,145.0387548,4.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","55 Barkly St, Mornington"
1232,Mpb,ChIJ37XGM6be1WoRxAOy25HR00g,-38.2349581,145.0611957,5.0,"['bar', 'point_of_interest', 'establishment']","20 Latham St, Mornington"
1233,Peninsula Club RSL,ChIJ92HWQ4vF1WoRoDwHncpSuTg,-38.3337637,144.9656685,3.5,"['bar', 'point_of_interest', 'establishment']","20 Gibson St, Dromana"
1234,Taco Bill - Mornington,ChIJrYpS-U_Z1WoRBerlAukj5Gs,-38.220022,145.03862,3.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","111 Main St, Mornington"
1235,Kirks on the Esplanade,ChIJl7b0t0TZ1WoRaNkgJ_20Qp8,-38.2180838,145.034026,4.1,"['meal_takeaway', 'meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","774 Esplanade, Mornington"
1236,Grand Hotel Mornington,ChIJvRzP5E_Z1WoRI_Bp2wAZ3zQ,-38.219955,145.03918,4.1,"['night_club', 'bar', 'liquor_store', 'point_of_interest', 'store', 'establishment']","124 Main St, Mornington"
